Culture Name,OldName,Genus,Ecotype,Clade,Location,Cruise Name,Depth,Isolator,Isolation Method,Notes,Latitude,Longitude,Cruise ID,Taxa,Date Isolated,LonghurstCode,LonghurstProvince,Biome,yearsInAge,depthRange
MIT1304,1304,Prochlorococcus,Low Light,"LLII, LLIII",Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered and flow sorted,"1.0 µm gravity filtered; Amended with 15 µM NaNO2 (nitrite), 1 µM NaH2PO4·H2O , 1X Pro2/Pro99 trace metal mix;  Subset sorted out of complex fcm",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
MIT1307,1307,Prochlorococcus,Low Light,LLVII,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"1.0 µm gravity filtered; Amended with 15 µM NaNO2 (nitrite), 1 µM NaH2PO4·H2O , 1X Pro2/Pro99 trace metal mix; Maintained at low light (~1 µmol quanta m-2s-1 PAR) for first 1.5 years in lab; 0.8um filtered after several months to remove picoeuks",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
MIT1313,1313,Prochlorococcus,Low Light,LLIV,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"1.0 µm gravity filtered; Amended with 15 µM NaNO2 (nitrite), 1 µM NaH2PO4·H2O , 1X Pro2/Pro99 trace metal mix; Dilution to extinction in ProMM to separate strains in enrichment (this strain was unique but not axenic after DTE).",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
MIT1341,1341,Prochlorococcus,Low Light,LLVII,Station ALOHA/North Pacific,HOE-PhoR,150,"J. Berta-Thompson, A. Cubillos-Ruiz, J. Becker",Filtered,"1.0 µm gravity filtered; Amended with 15 µM NaNO2 (nitrite), 1 µM NaH2PO4·H2O , 1X Pro2/Pro99 trace metal mix; Maintained at low light (~1 µmol quanta m-2s-1 PAR) for first 1.5 years in lab; 0.8um filtered after several months to remove picoeuks",22.75,-158,NA,Pro,2013/06/02,NPTG,Trades - N. PacificTropical Gyre Province,Trades,5.997260274,100-150m
MITS1220,SYN1220,Synechococcus,5.1a,IIh,Station ALOHA/North Pacific,HOE-DYLAN,124,"P.M. Berube, J. Becker",Filtered,"CellTrap (MemTeq) followed by 1.2um filtration into 32uM NH4, 2uM PO4, and 10% Pro99 trace metal mix",22.75,-158,NA,Syn,2012/09/01,NPTG,Trades - N. PacificTropical Gyre Province,Trades,6.747945205,100-150m
MITS9220,MITS9220,Synechococcus,5.1b,CRD1,Equatorial Pacific,NA,0,B. Binder,Filtered,NA,0,-140,NA,Syn,1992/10/03,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,26.66027397,0-50m
MITS9501,SYN9501,Synechococcus,5.1b,NA,Equatorial Pacific,IronEx II,1,L. Mann,Filtered,Isolated on F/2 media,-5.004,-117.1452,NA,Syn,1995/05/21,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,24.03005464,0-50m
MITS9503,SYN9503,Synechococcus,5.1b,NA,Equatorial Pacific,IronEx II,1,L. Mann,Filtered,Isolated on F/2 media,-5.004,-117.1452,NA,Syn,1995/05/21,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,24.03005464,0-50m
MITS9504,SYN9504,Synechococcus,5.1b,CRD1,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-4.3206,-105.139,NA,Syn,1995/05/30,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,24.00546448,0-50m
MITS9506,SYN9506,Synechococcus,5.1b,NA,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-5.4365,-107.079,NA,Syn,1995/06/04,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,23.99178082,0-50m
MITS9507,SYN9507,Synechococcus,5.1b,NA,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-5.4365,-107.079,NA,Syn,1995/06/04,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,23.99178082,0-50m
MITS9508,SYN9508,Synechococcus,5.1b,CRD1,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-6.5188,-109.509,NA,Syn,1995/06/09,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,23.97808219,0-50m
MITS9509,SYN9509,Synechococcus,5.1b,CRD1,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-6.5188,-109.509,NA,Syn,1995/06/09,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,23.97808219,0-50m
MITS9510,SYN9510,Synechococcus,5.1b,NA,Equatorial Pacific,IronEx II,15,L. Mann,Filtered,Isolated on F/2 media,-7.3197,-111.076,NA,Syn,1995/06/15,PEQD,Trades - Pacific Equatorial Divergence Province,Trades,23.96164384,0-50m
